Year AD,Year BS,Country,Month,No of visitors
2013/2014,2070/71,Argentina,Jan.,4
2013/2014,2070/71,Argentina,Feb.,6
2013/2014,2070/71,Argentina,Mar.,14
2013/2014,2070/71,Argentina,April,8
2013/2014,2070/71,Argentina,May,4
2013/2014,2070/71,Argentina,June,5
2013/2014,2070/71,Argentina,July,9
2013/2014,2070/71,Argentina,Aug.,5
2013/2014,2070/71,Argentina,Oct.,4
2013/2014,2070/71,Argentina,Dec.,3
2013/2014,2070/71,Australia,Jan.,132
2013/2014,2070/71,Australia,Feb.,93
2013/2014,2070/71,Australia,Mar.,214
2013/2014,2070/71,Australia,April,128
2013/2014,2070/71,Australia,May,91
2013/2014,2070/71,Australia,June,61
2013/2014,2070/71,Australia,July,57
2013/2014,2070/71,Australia,Aug.,44
2013/2014,2070/71,Australia,Sept.,78
2013/2014,2070/71,Australia,Oct.,176
2013/2014,2070/71,Australia,Nov.,202
2013/2014,2070/71,Australia,Dec.,167
2013/2014,2070/71,Austria,Feb.,10
2013/2014,2070/71,Austria,Mar.,18
2013/2014,2070/71,Austria,April,14
2013/2014,2070/71,Austria,May,2
2013/2014,2070/71,Austria,June,3
2013/2014,2070/71,Austria,Sept.,3
2013/2014,2070/71,Austria,Oct.,11
2013/2014,2070/71,Austria,Dec.,3
2013/2014,2070/71,Bangladesh,Feb.,1
2013/2014,2070/71,Bangladesh,Mar.,8
2013/2014,2070/71,Bangladesh,May,9
2013/2014,2070/71,Bangladesh,June,4
2013/2014,2070/71,Bangladesh,July,8
2013/2014,2070/71,Bangladesh,Sept.,1
2013/2014,2070/71,Bangladesh,Oct.,8
2013/2014,2070/71,Bangladesh,Nov.,4
2013/2014,2070/71,Bangladesh,Dec.,6
2013/2014,2070/71,Belguium,Jan.,27
2013/2014,2070/71,Belguium,Feb.,13
2013/2014,2070/71,Belguium,Mar.,28
2013/2014,2070/71,Belguium,April,22
2013/2014,2070/71,Belguium,May,15
2013/2014,2070/71,Belguium,June,10
2013/2014,2070/71,Belguium,July,1
2013/2014,2070/71,Belguium,Aug.,14
2013/2014,2070/71,Belguium,Sept.,17
2013/2014,2070/71,Belguium,Oct.,7
2013/2014,2070/71,Belguium,Nov.,14
2013/2014,2070/71,Belguium,Dec.,20
2013/2014,2070/71,Bhutan,Jan.,40
2013/2014,2070/71,Bhutan,Feb.,8
2013/2014,2070/71,Bhutan,Mar.,4
2013/2014,2070/71,Bhutan,April,28
2013/2014,2070/71,Bhutan,May,13
2013/2014,2070/71,Bhutan,Oct.,14
2013/2014,2070/71,Bhutan,Dec.,22
2013/2014,2070/71,Brazil,Jan.,3
2013/2014,2070/71,Brazil,Feb.,2
2013/2014,2070/71,Brazil,Mar.,12
2013/2014,2070/71,Brazil,April,3
2013/2014,2070/71,Brazil,May,9
2013/2014,2070/71,Brazil,June,7
2013/2014,2070/71,Brazil,Aug.,2
2013/2014,2070/71,Brazil,Oct.,7
2013/2014,2070/71,Brazil,Dec.,2
2013/2014,2070/71,Bulgeria,Jan.,4
2013/2014,2070/71,Bulgeria,April,9
2013/2014,2070/71,Bulgeria,Nov.,10
2013/2014,2070/71,Bulgeria,Dec.,1
2013/2014,2070/71,Cambodia,Jan.,36
2013/2014,2070/71,Cambodia,Feb.,522
2013/2014,2070/71,Cambodia,Mar.,82
2013/2014,2070/71,Cambodia,May,7
2013/2014,2070/71,Cambodia,June,3
2013/2014,2070/71,Cambodia,July,5
2013/2014,2070/71,Cambodia,Nov.,342
2013/2014,2070/71,Cambodia,Dec.,7
2013/2014,2070/71,Canada,Jan.,20
2013/2014,2070/71,Canada,Feb.,81
2013/2014,2070/71,Canada,Mar.,105
2013/2014,2070/71,Canada,April,49
2013/2014,2070/71,Canada,May,59
2013/2014,2070/71,Canada,June,16
2013/2014,2070/71,Canada,July,23
2013/2014,2070/71,Canada,Aug.,19
2013/2014,2070/71,Canada,Sept.,2
2013/2014,2070/71,Canada,Oct.,31
2013/2014,2070/71,Canada,Nov.,30
2013/2014,2070/71,Canada,Dec.,85
2013/2014,2070/71,Czech Republic,Feb.,6
2013/2014,2070/71,Czech Republic,Mar.,10
2013/2014,2070/71,Czech Republic,April,4
2013/2014,2070/71,Czech Republic,June,1
2013/2014,2070/71,Czech Republic,Aug.,1
2013/2014,2070/71,Czech Republic,Oct.,2
2013/2014,2070/71,Czech Republic,Dec.,2
2013/2014,2070/71,China,Jan.,689
2013/2014,2070/71,China,Feb.,1291
2013/2014,2070/71,China,Mar.,878
2013/2014,2070/71,China,April,907
2013/2014,2070/71,China,May,823
2013/2014,2070/71,China,June,587
2013/2014,2070/71,China,July,893
2013/2014,2070/71,China,Aug.,1402
2013/2014,2070/71,China,Sept.,1086
2013/2014,2070/71,China,Oct.,1981
2013/2014,2070/71,China,Nov.,1557
2013/2014,2070/71,China,Dec.,1467
2013/2014,2070/71,Denmark,Jan.,7
2013/2014,2070/71,Denmark,Feb.,26
2013/2014,2070/71,Denmark,Mar.,57
2013/2014,2070/71,Denmark,April,18
2013/2014,2070/71,Denmark,May,21
2013/2014,2070/71,Denmark,June,4
2013/2014,2070/71,Denmark,July,6
2013/2014,2070/71,Denmark,Aug.,2
2013/2014,2070/71,Denmark,Oct.,9
2013/2014,2070/71,Denmark,Nov.,7
2013/2014,2070/71,Denmark,Dec.,5
2013/2014,2070/71,Finland,Jan.,15
2013/2014,2070/71,Finland,Feb.,7
2013/2014,2070/71,Finland,Mar.,15
2013/2014,2070/71,Finland,April,5
2013/2014,2070/71,Finland,May,6
2013/2014,2070/71,Finland,July,6
2013/2014,2070/71,Finland,Sept.,2
2013/2014,2070/71,Finland,Dec.,6
2013/2014,2070/71,France,Jan.,52
2013/2014,2070/71,France,Feb.,74
2013/2014,2070/71,France,Mar.,123
2013/2014,2070/71,France,April,119
2013/2014,2070/71,France,May,87
2013/2014,2070/71,France,June,41
2013/2014,2070/71,France,July,48
