Country,Month,No of visitors
Afghanistan,,
Argentina,Jan.,4
Argentina,Feb.,6
Argentina,Mar.,14
Argentina,April,8
Argentina,May,4
Argentina,June,5
Argentina,July,9
Argentina,Aug.,5
Argentina,Oct.,4
Argentina,Dec.,3
Australia,Jan.,132
Australia,Feb.,93
Australia,Mar.,214
Australia,April,128
Australia,May,91
Australia,June,61
Australia,July,57
Australia,Aug.,44
Australia,Sept.,78
Australia,Oct.,176
Australia,Nov.,202
Australia,Dec.,167
Austria,Feb.,10
Austria,Mar.,18
Austria,April,14
Austria,May,2
Austria,June,3
Austria,Sept.,3
Austria,Oct.,11
Austria,Dec.,3
Bangladesh,Feb.,1
Bangladesh,Mar.,8
Bangladesh,May,9
Bangladesh,June,4
Bangladesh,July,8
Bangladesh,Sept.,1
Bangladesh,Oct.,8
Bangladesh,Nov.,4
Bangladesh,Dec.,6
Belguium,Jan.,27
Belguium,Feb.,13
Belguium,Mar.,28
Belguium,April,22
Belguium,May,15
Belguium,June,10
Belguium,July,1
Belguium,Aug.,14
Belguium,Sept.,17
Belguium,Oct.,7
Belguium,Nov.,14
Belguium,Dec.,20
Bhutan,Jan.,40
Bhutan,Feb.,8
Bhutan,Mar.,4
Bhutan,April,28
Bhutan,May,13
Bhutan,Oct.,14
Bhutan,Dec.,22
Brazil,Jan.,3
Brazil,Feb.,2
Brazil,Mar.,12
Brazil,April,3
Brazil,May,9
Brazil,June,7
Brazil,Aug.,2
Brazil,Oct.,7
Brazil,Dec.,2
Bulgeria,Jan.,4
Bulgeria,April,9
Bulgeria,Nov.,10
Bulgeria,Dec.,1
Cambodia,Jan.,36
Cambodia,Feb.,522
Cambodia,Mar.,82
Cambodia,May,7
Cambodia,June,3
Cambodia,July,5
Cambodia,Nov.,342
Cambodia,Dec.,7
Canada,Jan.,20
Canada,Feb.,81
Canada,Mar.,105
Canada,April,49
Canada,May,59
Canada,June,16
Canada,July,23
Canada,Aug.,19
Canada,Sept.,2
Canada,Oct.,31
Canada,Nov.,30
Canada,Dec.,85
Czech Republic,Feb.,6
Czech Republic,Mar.,10
Czech Republic,April,4
Czech Republic,June,1
Czech Republic,Aug.,1
Czech Republic,Oct.,2
Czech Republic,Dec.,2
China,Jan.,689
China,Feb.,"1,291"
China,Mar.,878
China,April,907
China,May,823
China,June,587
China,July,893
China,Aug.,"1,402"
China,Sept.,"1,086"
China,Oct.,"1,981"
China,Nov.,"1,557"
China,Dec.,"1,467"
Denmark,Jan.,7
Denmark,Feb.,26
Denmark,Mar.,57
Denmark,April,18
Denmark,May,21
Denmark,June,4
Denmark,July,6
Denmark,Aug.,2
Denmark,Oct.,9
Denmark,Nov.,7
Denmark,Dec.,5
Finland,Jan.,15
Finland,Feb.,7
Finland,Mar.,15
Finland,April,5
Finland,May,6
Finland,July,6
Finland,Sept.,2
Finland,Dec.,6
France,Jan.,52
France,Feb.,74
France,Mar.,123
France,April,119
France,May,87
France,June,41
France,July,48
France,Aug.,82
France,Sept.,35
France,Oct.,95
France,Nov.,148
France,Dec.,39
Germany,Jan.,55
Germany,Feb.,84
Germany,Mar.,262
Germany,April,75
Germany,May,81
Germany,June,39
Germany,July,42
Germany,Aug.,19
Germany,Sept.,55
Germany,Oct.,207
Germany,Nov.,140
Germany,Dec.,61
Greece,Jan.,4
Greece,Mar.,2
Greece,May,1
Greece,July,1
Hongkong,Jan.,15
Hongkong,Feb.,9
Hongkong,Mar.,7
Hongkong,April,32
Hongkong,May,3
Hongkong,June,1
Hongkong,July,2
Hongkong,Aug.,2
Hongkong,Sept.,6
Hongkong,Nov.,18
Hongkong,Dec.,3
Indonesia,Feb.,26
Indonesia,Mar.,5
Indonesia,April,11
Indonesia,May,31
Indonesia,July,25
Indonesia,Aug.,117
Indonesia,Sept.,70
Indonesia,Oct.,51
Indonesia,Nov.,99
Indonesia,Dec.,48
Irland,Jan.,3
Irland,Feb.,8
Irland,Mar.,2
Irland,April,10
Irland,May,5
Irland,June,8
Irland,July,1
Irland,Aug.,4
Irland,Sept.,6
Irland,Oct.,1
Irland,Nov.,1
Irland,Dec.,9
Israel,Mar.,13
Israel,April,10
Israel,May,9
Israel,June,16
Israel,July,2
Israel,Sept.,2
Israel,Oct.,5
Israel,Nov.,3
Israel,Dec.,2
Italy,Jan.,22
Italy,Feb.,46
Italy,Mar.,37
Italy,April,49
Italy,May,16
