Fiscal Year BS,Fiscal Year AD,Total Earning NRs,Total Earning USD
2047/48,1990/91,1843800,56734
2048/49,1991/92,3090700,72467
2049/50,1992/93,3082000,67721
2050/51,1993/94,3397600,69309
2051/52,1994/95,5896200,118563
2052/53,1995/96,6605800,119060
2053/54,1996/97,6158800,108527
2054/55,1997/98,8084930,131042
2055/56,1998/99,11584912,171403
2056/57,1999/00,11709098,169848
2057/58,2000/01,11969174,162513
2058/59,2001/02,7798535,101628
2059/60,2002/03,10369409,134245
2060/61,2003/04,12337977,168163
2061/62,2004/05,11814853,164408
2062/63,2005/06,11710893,162086
2063/64,2006/07,12645761,181243
2064/65,2007/08,20339890,313941
2065/66,2008/09,27959800,359011
2066/67,2009/10,28139000,396324
2067/68,2010/11,23948480,321456
