National Park,Year AD,Year BS,No of tourist
Bardiya National Park,2008,2065,2790
Bardiya National Park,2009,2066,3087
Bardiya National Park,2010,2067,3727
Bardiya National Park,2011,2068,4765
Bardiya National Park,2012,2069,5760
Bardiya National Park,2013,2070,12974
Bardiya National Park,2014,2071,14197
Chitwan National Park,2008,2065,82723
Chitwan National Park,2009,2066,78682
Chitwan National Park,2010,2067,84518
Chitwan National Park,2011,2068,122332
Chitwan National Park,2012,2069,126484
Chitwan National Park,2013,2070,153776
Chitwan National Park,2014,2071,173425
Dhorpatan Hunting Reserve,2008,2065,55
Dhorpatan Hunting Reserve,2009,2066,21
Dhorpatan Hunting Reserve,2010,2067,26
Dhorpatan Hunting Reserve,2011,2068,28
Dhorpatan Hunting Reserve,2012,2069,47
Dhorpatan Hunting Reserve,2013,2070,88
Dhorpatan Hunting Reserve,2014,2071,89
Khaptad National Park,2008,2065,5929
Khaptad National Park,2009,2066,2
Khaptad National Park,2010,2067,12
Khaptad National Park,2011,2068,22
Khaptad National Park,2012,2069,6
Khaptad National Park,2013,2070,19
Khaptad National Park,2014,2071,47
Koshi Tappu Wildlife Reserve,2008,2065,238
Koshi Tappu Wildlife Reserve,2009,2066,231
Koshi Tappu Wildlife Reserve,2010,2067,456
Koshi Tappu Wildlife Reserve,2011,2068,181
Koshi Tappu Wildlife Reserve,2012,2069,441
Koshi Tappu Wildlife Reserve,2013,2070,4446
Koshi Tappu Wildlife Reserve,2014,2071,7349
Langtang National Park,2008,2065,9533
Langtang National Park,2009,2066,10535
Langtang National Park,2010,2067,10315
Langtang National Park,2011,2068,13838
Langtang National Park,2012,2069,12649
Langtang National Park,2013,2070,13370
Langtang National Park,2014,2071,12552
Makalu Barun National Park,2008,2065,1371
Makalu Barun National Park,2009,2066,1828
Makalu Barun National Park,2010,2067,1323
Makalu Barun National Park,2011,2068,1501
Makalu Barun National Park,2012,2069,1520
Makalu Barun National Park,2013,2070,1523
Makalu Barun National Park,2014,2071,1083
Parsa Wildlife Reserve,2008,2065,-
Parsa Wildlife Reserve,2009,2066,49
Parsa Wildlife Reserve,2010,2067,-
Parsa Wildlife Reserve,2011,2068,14
Parsa Wildlife Reserve,2012,2069,48
Parsa Wildlife Reserve,2013,2070,192
Parsa Wildlife Reserve,2014,2071,376
Rara National Park,2008,2065,104
Rara National Park,2009,2066,146
Rara National Park,2010,2067,135
Rara National Park,2011,2068,174
Rara National Park,2012,2069,49
Rara National Park,2013,2070,164
Rara National Park,2014,2071,181
Sagarmatha National Park,2008,2065,31201
Sagarmatha National Park,2009,2066,29036
Sagarmatha National Park,2010,2067,32084
Sagarmatha National Park,2011,2068,34645
Sagarmatha National Park,2012,2069,36518
Sagarmatha National Park,2013,2070,36750
Sagarmatha National Park,2014,2071,35157
Shey Phoksundo National Park,2008,2065,678
Shey Phoksundo National Park,2009,2066,325
Shey Phoksundo National Park,2010,2067,558
Shey Phoksundo National Park,2011,2068,512
Shey Phoksundo National Park,2012,2069,679
Shey Phoksundo National Park,2013,2070,620
Shey Phoksundo National Park,2014,2071,417
Shivapuri National Park,2008,2065,8344
Shivapuri National Park,2009,2066,11178
Shivapuri National Park,2010,2067,11798
Shivapuri National Park,2011,2068,15921
Shivapuri National Park,2012,2069,82935
Shivapuri National Park,2013,2070,165904
Shivapuri National Park,2014,2071,180464
Shukla Phata Wildlife Reserve,2008,2065,59
Shukla Phata Wildlife Reserve,2009,2066,161
Shukla Phata Wildlife Reserve,2010,2067,115
Shukla Phata Wildlife Reserve,2011,2068,190
Shukla Phata Wildlife Reserve,2012,2069,144
Shukla Phata Wildlife Reserve,2013,2070,471
Shukla Phata Wildlife Reserve,2014,2071,984
