Year AD,Year BS,Country,Month,No of Visitors
2012,2069,Afghanistan,Jan.,0
2012,2069,Afghanistan,Feb.,0
2012,2069,Afghanistan,Mar.,0
2012,2069,Afghanistan,April,0
2012,2069,Afghanistan,May,0
2012,2069,Afghanistan,June,0
2012,2069,Afghanistan,July,0
2012,2069,Afghanistan,Aug.,0
2012,2069,Afghanistan,Sept.,0
2012,2069,Afghanistan,Oct.,0
2012,2069,Afghanistan,Nov.,0
2012,2069,Afghanistan,Dec.,1
2012,2069,Argentina,Jan.,2
2012,2069,Argentina,Feb.,0
2012,2069,Argentina,Mar.,5
2012,2069,Argentina,April,2
2012,2069,Argentina,May,5
2012,2069,Argentina,June,0
2012,2069,Argentina,July,0
2012,2069,Argentina,Aug.,3
2012,2069,Argentina,Sept.,2
2012,2069,Argentina,Oct.,13
2012,2069,Argentina,Nov.,2
2012,2069,Argentina,Dec.,8
2012,2069,Australia,Jan.,46
2012,2069,Australia,Feb.,76
2012,2069,Australia,Mar.,107
2012,2069,Australia,April,143
2012,2069,Australia,May,30
2012,2069,Australia,June,22
2012,2069,Australia,July,27
2012,2069,Australia,Aug.,28
2012,2069,Australia,Sept.,132
2012,2069,Australia,Oct.,220
2012,2069,Australia,Nov.,138
2012,2069,Australia,Dec.,235
2012,2069,Austria,Jan.,2
2012,2069,Austria,Feb.,0
2012,2069,Austria,Mar.,0
2012,2069,Austria,April,9
2012,2069,Austria,May,4
2012,2069,Austria,June,1
2012,2069,Austria,July,1
2012,2069,Austria,Aug.,18
2012,2069,Austria,Sept.,8
2012,2069,Austria,Oct.,6
2012,2069,Austria,Nov.,28
2012,2069,Austria,Dec.,7
2012,2069,Bangladesh,Jan.,0
2012,2069,Bangladesh,Feb.,0
2012,2069,Bangladesh,Mar.,48
2012,2069,Bangladesh,April,5
2012,2069,Bangladesh,May,4
2012,2069,Bangladesh,June,0
2012,2069,Bangladesh,July,4
2012,2069,Bangladesh,Aug.,1
2012,2069,Bangladesh,Sept.,3
2012,2069,Bangladesh,Oct.,2
2012,2069,Bangladesh,Nov.,36
2012,2069,Bangladesh,Dec.,45
2012,2069,Belguium,Jan.,0
2012,2069,Belguium,Feb.,21
2012,2069,Belguium,Mar.,5
2012,2069,Belguium,April,9
2012,2069,Belguium,May,5
2012,2069,Belguium,June,5
2012,2069,Belguium,July,15
2012,2069,Belguium,Aug.,17
2012,2069,Belguium,Sept.,8
