Year,Country,Month,No of Visitors,,,,,,,,,
2013,Afghanistan,Jan.,0,,,,,,,,,
2013,Afghanistan,Feb.,0,,,,,,,,,
2013,Afghanistan,Mar.,0,,,,,,,,,
2013,Afghanistan,April,0,,,,,,,,,
2013,Afghanistan,May,0,,,,,,,,,
2013,Afghanistan,June,0,,,,,,,,,
2013,Afghanistan,July,0,,,,,,,,,
2013,Afghanistan,Aug.,0,,,,,,,,,
2013,Afghanistan,Sept.,0,,,,,,,,,
2013,Afghanistan,Oct.,0,,,,,,,,,
2013,Afghanistan,Nov.,0,,,,,,,,,
2013,Afghanistan,Dec.,0,,,,,,,,,
2013,Argentina,Jan.,4,,,,,,,,,
2013,Argentina,Feb.,6,,,,,,,,,
2013,Argentina,Mar.,14,,,,,,,,,
2013,Argentina,April,8,,,,,,,,,
2013,Argentina,May,4,,,,,,,,,
2013,Argentina,June,5,,,,,,,,,
2013,Argentina,July,9,,,,,,,,,
2013,Argentina,Aug.,5,,,,,,,,,
2013,Argentina,Sept.,0,,,,,,,,,
2013,Argentina,Oct.,4,,,,,,,,,
2013,Argentina,Nov.,0,,,,,,,,,
2013,Argentina,Dec.,3,,,,,,,,,
2013,Australia,Jan.,132,,,,,,,,,
2013,Australia,Feb.,93,,,,,,,,,
2013,Australia,Mar.,214,,,,,,,,,
2013,Australia,April,128,,,,,,,,,
2013,Australia,May,91,,,,,,,,,
2013,Australia,June,61,,,,,,,,,
2013,Australia,July,57,,,,,,,,,
2013,Australia,Aug.,44,,,,,,,,,
2013,Australia,Sept.,78,,,,,,,,,
2013,Australia,Oct.,176,,,,,,,,,
2013,Australia,Nov.,202,,,,,,,,,
2013,Australia,Dec.,167,,,,,,,,,
2013,Austria,Jan.,0,,,,,,,,,
2013,Austria,Feb.,10,,,,,,,,,
2013,Austria,Mar.,18,,,,,,,,,
2013,Austria,April,14,,,,,,,,,
2013,Austria,May,2,,,,,,,,,
2013,Austria,June,3,,,,,,,,,
2013,Austria,July,0,,,,,,,,,
2013,Austria,Aug.,0,,,,,,,,,
2013,Austria,Sept.,3,,,,,,,,,
2013,Austria,Oct.,11,,,,,,,,,
2013,Austria,Nov.,0,,,,,,,,,
2013,Austria,Dec.,3,,,,,,,,,
2013,Bangladesh,Jan.,0,,,,,,,,,
2013,Bangladesh,Feb.,1,,,,,,,,,
2013,Bangladesh,Mar.,8,,,,,,,,,
2013,Bangladesh,April,0,,,,,,,,,
2013,Bangladesh,May,9,,,,,,,,,
2013,Bangladesh,June,4,,,,,,,,,
2013,Bangladesh,July,8,,,,,,,,,
2013,Bangladesh,Aug.,0,,,,,,,,,
2013,Bangladesh,Sept.,1,,,,,,,,,
2013,Bangladesh,Oct.,8,,,,,,,,,
2013,Bangladesh,Nov.,4,,,,,,,,,
2013,Bangladesh,Dec.,6,,,,,,,,,
2013,Belguium,Jan.,27,,,,,,,,,
2013,Belguium,Feb.,13,,,,,,,,,
2013,Belguium,Mar.,28,,,,,,,,,
2013,Belguium,April,22,,,,,,,,,
2013,Belguium,May,15,,,,,,,,,
2013,Belguium,June,10,,,,,,,,,
2013,Belguium,July,1,,,,,,,,,
2013,Belguium,Aug.,14,,,,,,,,,
2013,Belguium,Sept.,17,,,,,,,,,
2013,Belguium,Oct.,7,,,,,,,,,
2013,Belguium,Nov.,14,,,,,,,,,
2013,Belguium,Dec.,20,,,,,,,,,
2013,Bhutan,Jan.,40,,,,,,,,,
2013,Bhutan,Feb.,8,,,,,,,,,
2013,Bhutan,Mar.,4,,,,,,,,,
2013,Bhutan,April,28,,,,,,,,,
2013,Bhutan,May,13,,,,,,,,,
2013,Bhutan,June,0,,,,,,,,,
2013,Bhutan,July,0,,,,,,,,,
2013,Bhutan,Aug.,0,,,,,,,,,
2013,Bhutan,Sept.,0,,,,,,,,,
2013,Bhutan,Oct.,14,,,,,,,,,
2013,Bhutan,Nov.,0,,,,,,,,,
2013,Bhutan,Dec.,22,,,,,,,,,
2013,Brazil,Jan.,3,,,,,,,,,
2013,Brazil,Feb.,2,,,,,,,,,
2013,Brazil,Mar.,12,,,,,,,,,
2013,Brazil,April,3,,,,,,,,,
2013,Brazil,May,9,,,,,,,,,
2013,Brazil,June,7,,,,,,,,,
2013,Brazil,July,0,,,,,,,,,
2013,Brazil,Aug.,2,,,,,,,,,
2013,Brazil,Sept.,0,,,,,,,,,
2013,Brazil,Oct.,7,,,,,,,,,
2013,Brazil,Nov.,0,,,,,,,,,
2013,Brazil,Dec.,2,,,,,,,,,
2013,Bulgeria,Jan.,4,,,,,,,,,
2013,Bulgeria,Feb.,0,,,,,,,,,
2013,Bulgeria,Mar.,0,,,,,,,,,
2013,Bulgeria,April,9,,,,,,,,,
2013,Bulgeria,May,0,,,,,,,,,
2013,Bulgeria,June,0,,,,,,,,,
2013,Bulgeria,July,0,,,,,,,,,
2013,Bulgeria,Aug.,0,,,,,,,,,
2013,Bulgeria,Sept.,0,,,,,,,,,
2013,Bulgeria,Oct.,0,,,,,,,,,
2013,Bulgeria,Nov.,10,,,,,,,,,
2013,Bulgeria,Dec.,1,,,,,,,,,
2013,Cambodia,Jan.,36,,,,,,,,,
2013,Cambodia,Feb.,522,,,,,,,,,
2013,Cambodia,Mar.,82,,,,,,,,,
2013,Cambodia,April,0,,,,,,,,,
2013,Cambodia,May,7,,,,,,,,,
2013,Cambodia,June,3,,,,,,,,,
2013,Cambodia,July,5,,,,,,,,,
2013,Cambodia,Aug.,0,,,,,,,,,
2013,Cambodia,Sept.,0,,,,,,,,,
2013,Cambodia,Oct.,0,,,,,,,,,
2013,Cambodia,Nov.,342,,,,,,,,,
2013,Cambodia,Dec.,7,,,,,,,,,
2013,Canada,Jan.,20,,,,,,,,,
2013,Canada,Feb.,81,,,,,,,,,
2013,Canada,Mar.,105,,,,,,,,,
2013,Canada,April,49,,,,,,,,,
2013,Canada,May,59,,,,,,,,,
2013,Canada,June,16,,,,,,,,,
2013,Canada,July,23,,,,,,,,,
2013,Canada,Aug.,19,,,,,,,,,
2013,Canada,Sept.,2,,,,,,,,,
2013,Canada,Oct.,31,,,,,,,,,
2013,Canada,Nov.,30,,,,,,,,,
2013,Canada,Dec.,85,,,,,,,,,
2013,Czech Republic,Jan.,0,,,,,,,,,
2013,Czech Republic,Feb.,6,,,,,,,,,
2013,Czech Republic,Mar.,10,,,,,,,,,
2013,Czech Republic,April,4,,,,,,,,,
2013,Czech Republic,May,0,,,,,,,,,
2013,Czech Republic,June,1,,,,,,,,,
2013,Czech Republic,July,0,,,,,,,,,
2013,Czech Republic,Aug.,1,,,,,,,,,
2013,Czech Republic,Sept.,0,,,,,,,,,
2013,Czech Republic,Oct.,2,,,,,,,,,
