Year AD,Year BS,Month,Nationalities,Number of people
2013,2070,January,Nepali,257
2013,2070,January,Foreigner,599
2013,2070,February,Nepali,246
2013,2070,February,Foreigner,573
2013,2070,March,Nepali,242
2013,2070,March,Foreigner,564
2013,2070,April,Nepali,237
2013,2070,April,Foreigner,552
2013,2070,May,Nepali,242
2013,2070,May,Foreigner,565
2013,2070,June,Nepali,140
2013,2070,June,Foreigner,326
2013,2070,July,Nepali,138
2013,2070,July,Foreigner,321
2013,2070,August,Nepali,175
2013,2070,August,Foreigner,408
2013,2070,September,Nepali,259
2013,2070,September,Foreigner,604
2013,2070,October,Nepali,418
2013,2070,October,Foreigner,975
2013,2070,November,Nepali,277
2013,2070,November,Foreigner,645
2013,2070,December,Nepali,307
2013,2070,December,Foreigner,716
2012,2069,January,Nepali,170
2012,2069,January,Foreigner,295
2012,2069,February,Nepali,176
2012,2069,February,Foreigner,324
2012,2069,March,Nepali,203
2012,2069,March,Foreigner,369
2012,2069,April,Nepali,186
2012,2069,April,Foreigner,414
2012,2069,May,Nepali,119
2012,2069,May,Foreigner,313
2012,2069,June,Nepali,32
2012,2069,June,Foreigner,137
2012,2069,July,Nepali,31
2012,2069,July,Foreigner,63
2012,2069,August,Nepali,46
2012,2069,August,Foreigner,139
2012,2069,September,Nepali,195
2012,2069,September,Foreigner,332
2012,2069,October,Nepali,309
2012,2069,October,Foreigner,599
2012,2069,November,Nepali,301
2012,2069,November,Foreigner,525
2012,2069,December,Nepali,367
2012,2069,December,Foreigner,525
