Year AD,Year BS,Month,Crime,Number of tourist
2009,2066,Apr.,Cheating/ Froud,0
2010,2067,Apr.,Cheating/ Froud,0
2011,2068,Apr.,Cheating/ Froud,1
2012,2069,Apr.,Cheating/ Froud,1
2013,2070,Apr.,Cheating/ Froud,3
2014,2071,Apr.,Cheating/ Froud,3
2009,2066,Apr.,Lost/Missing,28
2010,2067,Apr.,Lost/Missing,21
2011,2068,Apr.,Lost/Missing,23
2012,2069,Apr.,Lost/Missing,23
2013,2070,Apr.,Lost/Missing,22
2014,2071,Apr.,Lost/Missing,46
2009,2066,Apr.,Others,6
2010,2067,Apr.,Others,1
2011,2068,Apr.,Others,1
2012,2069,Apr.,Others,3
2013,2070,Apr.,Others,6
2014,2071,Apr.,Others,4
2009,2066,Apr.,Theft/Robbery,37
2010,2067,Apr.,Theft/Robbery,18
2011,2068,Apr.,Theft/Robbery,22
2012,2069,Apr.,Theft/Robbery,26
2013,2070,Apr.,Theft/Robbery,16
2014,2071,Apr.,Theft/Robbery,26
2009,2066,Aug.,Cheating/ Froud,4
2010,2067,Aug.,Cheating/ Froud,0
2011,2068,Aug.,Cheating/ Froud,0
2012,2069,Aug.,Cheating/ Froud,2
2013,2070,Aug.,Cheating/ Froud,0
2014,2071,Aug.,Cheating/ Froud,4
2009,2066,Aug.,Lost/Missing,19
2010,2067,Aug.,Lost/Missing,19
2011,2068,Aug.,Lost/Missing,18
2012,2069,Aug.,Lost/Missing,21
2013,2070,Aug.,Lost/Missing,33
2014,2071,Aug.,Lost/Missing,38
2009,2066,Aug.,Others,1
2010,2067,Aug.,Others,1
2011,2068,Aug.,Others,0
2012,2069,Aug.,Others,2
2013,2070,Aug.,Others,5
2014,2071,Aug.,Others,4
2009,2066,Aug.,Theft/Robbery,32
2010,2067,Aug.,Theft/Robbery,18
2011,2068,Aug.,Theft/Robbery,26
2012,2069,Aug.,Theft/Robbery,24
2013,2070,Aug.,Theft/Robbery,15
2014,2071,Aug.,Theft/Robbery,18
2009,2066,Dec.,Cheating/ Froud,0
2010,2067,Dec.,Cheating/ Froud,1
2011,2068,Dec.,Cheating/ Froud,2
2012,2069,Dec.,Cheating/ Froud,4
2013,2070,Dec.,Cheating/ Froud,3
2014,2071,Dec.,Cheating/ Froud,3
2009,2066,Dec.,Lost/Missing,18
2010,2067,Dec.,Lost/Missing,23
2011,2068,Dec.,Lost/Missing,26
2012,2069,Dec.,Lost/Missing,31
2013,2070,Dec.,Lost/Missing,40
2014,2071,Dec.,Lost/Missing,53
2009,2066,Dec.,Others,3
2010,2067,Dec.,Others,0
2011,2068,Dec.,Others,2
2012,2069,Dec.,Others,3
2013,2070,Dec.,Others,13
2014,2071,Dec.,Others,6
2009,2066,Dec.,Theft/Robbery,19
2010,2067,Dec.,Theft/Robbery,24
2011,2068,Dec.,Theft/Robbery,27
2012,2069,Dec.,Theft/Robbery,32
2013,2070,Dec.,Theft/Robbery,18
2014,2071,Dec.,Theft/Robbery,22
2009,2066,Feb.,Cheating/ Froud,1
2010,2067,Feb.,Cheating/ Froud,0
2011,2068,Feb.,Cheating/ Froud,1
2012,2069,Feb.,Cheating/ Froud,2
2013,2070,Feb.,Cheating/ Froud,3
2014,2071,Feb.,Cheating/ Froud,5
2009,2066,Feb.,Lost/Missing,30
2010,2067,Feb.,Lost/Missing,40
2011,2068,Feb.,Lost/Missing,23
2012,2069,Feb.,Lost/Missing,41
2013,2070,Feb.,Lost/Missing,49
2014,2071,Feb.,Lost/Missing,47
2009,2066,Feb.,Others,1
2010,2067,Feb.,Others,3
2011,2068,Feb.,Others,4
2012,2069,Feb.,Others,1
2013,2070,Feb.,Others,2
2014,2071,Feb.,Others,9
2009,2066,Feb.,Theft/Robbery,32
2010,2067,Feb.,Theft/Robbery,32
2011,2068,Feb.,Theft/Robbery,19
2012,2069,Feb.,Theft/Robbery,43
2013,2070,Feb.,Theft/Robbery,37
2014,2071,Feb.,Theft/Robbery,42
2009,2066,Jan.,Cheating/ Froud,8
2010,2067,Jan.,Cheating/ Froud,3
2011,2068,Jan.,Cheating/ Froud,5
2012,2069,Jan.,Cheating/ Froud,3
2013,2070,Jan.,Cheating/ Froud,1
2014,2071,Jan.,Cheating/ Froud,6
2009,2066,Jan.,Lost/Missing,20
2010,2067,Jan.,Lost/Missing,22
2011,2068,Jan.,Lost/Missing,23
2012,2069,Jan.,Lost/Missing,25
2013,2070,Jan.,Lost/Missing,35
2014,2071,Jan.,Lost/Missing,62
2009,2066,Jan.,Others,6
2010,2067,Jan.,Others,1
2011,2068,Jan.,Others,3
2012,2069,Jan.,Others,3
2013,2070,Jan.,Others,13
2014,2071,Jan.,Others,8
2009,2066,Jan.,Theft/Robbery,20
2010,2067,Jan.,Theft/Robbery,23
2011,2068,Jan.,Theft/Robbery,28
2012,2069,Jan.,Theft/Robbery,28
2013,2070,Jan.,Theft/Robbery,28
2014,2071,Jan.,Theft/Robbery,38
2009,2066,Jul.,Cheating/ Froud,0
2010,2067,Jul.,Cheating/ Froud,0
2011,2068,Jul.,Cheating/ Froud,0
2012,2069,Jul.,Cheating/ Froud,3
2013,2070,Jul.,Cheating/ Froud,0
2014,2071,Jul.,Cheating/ Froud,1
2009,2066,Jul.,Lost/Missing,34
2010,2067,Jul.,Lost/Missing,25
2011,2068,Jul.,Lost/Missing,22
2012,2069,Jul.,Lost/Missing,26
2013,2070,Jul.,Lost/Missing,19
2014,2071,Jul.,Lost/Missing,39
2009,2066,Jul.,Others,2
2010,2067,Jul.,Others,2
2011,2068,Jul.,Others,2
2012,2069,Jul.,Others,5
2013,2070,Jul.,Others,2
2014,2071,Jul.,Others,2
2009,2066,Jul.,Theft/Robbery,19
2010,2067,Jul.,Theft/Robbery,16
2011,2068,Jul.,Theft/Robbery,14
2012,2069,Jul.,Theft/Robbery,18
2013,2070,Jul.,Theft/Robbery,17
2014,2071,Jul.,Theft/Robbery,17
2009,2066,Jun.,Cheating/ Froud,4
2010,2067,Jun.,Cheating/ Froud,0
2011,2068,Jun.,Cheating/ Froud,0
2012,2069,Jun.,Cheating/ Froud,1
2013,2070,Jun.,Cheating/ Froud,1
2014,2071,Jun.,Cheating/ Froud,6
2009,2066,Jun.,Lost/Missing,19
2010,2067,Jun.,Lost/Missing,16
2011,2068,Jun.,Lost/Missing,15
2012,2069,Jun.,Lost/Missing,23
2013,2070,Jun.,Lost/Missing,38
2014,2071,Jun.,Lost/Missing,38
2009,2066,Jun.,Others,2
2010,2067,Jun.,Others,0
2011,2068,Jun.,Others,1
2012,2069,Jun.,Others,2
2013,2070,Jun.,Others,3
2014,2071,Jun.,Others,6
2009,2066,Jun.,Theft/Robbery,37
2010,2067,Jun.,Theft/Robbery,21
2011,2068,Jun.,Theft/Robbery,9
2012,2069,Jun.,Theft/Robbery,19
2013,2070,Jun.,Theft/Robbery,15
2014,2071,Jun.,Theft/Robbery,19
2009,2066,Mar.,Cheating/ Froud,1
2010,2067,Mar.,Cheating/ Froud,0
2011,2068,Mar.,Cheating/ Froud,1
2012,2069,Mar.,Cheating/ Froud,3
2013,2070,Mar.,Cheating/ Froud,4
2014,2071,Mar.,Cheating/ Froud,3
2009,2066,Mar.,Lost/Missing,12
2010,2067,Mar.,Lost/Missing,32
2011,2068,Mar.,Lost/Missing,19
2012,2069,Mar.,Lost/Missing,33
2013,2070,Mar.,Lost/Missing,31
2014,2071,Mar.,Lost/Missing,36
2009,2066,Mar.,Others,3
2010,2067,Mar.,Others,0
2011,2068,Mar.,Others,1
2012,2069,Mar.,Others,2
2013,2070,Mar.,Others,8
2014,2071,Mar.,Others,5
2009,2066,Mar.,Theft/Robbery,10
2010,2067,Mar.,Theft/Robbery,20
