Year,Month,Crime,Number of tourist
2009,Jan.,Theft/Robbery,20
2010,Jan.,Theft/Robbery,18
2011,Jan.,Theft/Robbery,22
2012,Jan.,Theft/Robbery,26
2013,Jan.,Theft/Robbery,16
2009,Jan.,Lost/Missing,20
2010,Jan.,Lost/Missing,21
2011,Jan.,Lost/Missing,23
2012,Jan.,Lost/Missing,23
2013,Jan.,Lost/Missing,22
2009,Jan.,Cheating/ Froud,8
2010,Jan.,Cheating/ Froud,0
2011,Jan.,Cheating/ Froud,1
2012,Jan.,Cheating/ Froud,1
2013,Jan.,Cheating/ Froud,3
2009,Jan.,Others,6
2010,Jan.,Others,1
2011,Jan.,Others,1
2012,Jan.,Others,3
2013,Jan.,Others,6
2009,Feb.,Theft/Robbery,32
2010,Feb.,Theft/Robbery,18
2011,Feb.,Theft/Robbery,26
2012,Feb.,Theft/Robbery,24
2013,Feb.,Theft/Robbery,15
2009,Feb.,Lost/Missing,30
2010,Feb.,Lost/Missing,19
2011,Feb.,Lost/Missing,18
2012,Feb.,Lost/Missing,21
2013,Feb.,Lost/Missing,33
2009,Feb.,Cheating/ Froud,1
2010,Feb.,Cheating/ Froud,0
2011,Feb.,Cheating/ Froud,0
2012,Feb.,Cheating/ Froud,2
2013,Feb.,Cheating/ Froud,0
2009,Feb.,Others,1
2010,Feb.,Others,1
2011,Feb.,Others,0
2012,Feb.,Others,2
2013,Feb.,Others,5
2009,Mar.,Theft/Robbery,10
2010,Mar.,Theft/Robbery,24
2011,Mar.,Theft/Robbery,27
2012,Mar.,Theft/Robbery,32
2013,Mar.,Theft/Robbery,18
2009,Mar.,Lost/Missing,12
2010,Mar.,Lost/Missing,23
2011,Mar.,Lost/Missing,26
2012,Mar.,Lost/Missing,31
2013,Mar.,Lost/Missing,40
2009,Mar.,Cheating/ Froud,1
2010,Mar.,Cheating/ Froud,1
2011,Mar.,Cheating/ Froud,2
2012,Mar.,Cheating/ Froud,4
2013,Mar.,Cheating/ Froud,3
2009,Mar.,Others,3
2010,Mar.,Others,0
2011,Mar.,Others,2
2012,Mar.,Others,3
2013,Mar.,Others,13
2009,Apr.,Theft/Robbery,37
2010,Apr.,Theft/Robbery,32
2011,Apr.,Theft/Robbery,19
2012,Apr.,Theft/Robbery,43
2013,Apr.,Theft/Robbery,37
2009,Apr.,Lost/Missing,28
2010,Apr.,Lost/Missing,40
2011,Apr.,Lost/Missing,23
2012,Apr.,Lost/Missing,41
2013,Apr.,Lost/Missing,49
2009,Apr.,Cheating/ Froud,0
2010,Apr.,Cheating/ Froud,0
2011,Apr.,Cheating/ Froud,1
2012,Apr.,Cheating/ Froud,2
2013,Apr.,Cheating/ Froud,3
2009,Apr.,Others,6
2010,Apr.,Others,3
2011,Apr.,Others,4
2012,Apr.,Others,1
2013,Apr.,Others,2
2009,May,Theft/Robbery,38
2010,May,Theft/Robbery,23
2011,May,Theft/Robbery,28
2012,May,Theft/Robbery,28
2013,May,Theft/Robbery,28
2009,May,Lost/Missing,21
2010,May,Lost/Missing,22
2011,May,Lost/Missing,23
2012,May,Lost/Missing,25
2013,May,Lost/Missing,35
2009,May,Cheating/ Froud,0
2010,May,Cheating/ Froud,3
2011,May,Cheating/ Froud,5
2012,May,Cheating/ Froud,3
2013,May,Cheating/ Froud,1
2009,May,Others,0
2010,May,Others,1
2011,May,Others,3
2012,May,Others,3
2013,May,Others,13
2009,Jun.,Theft/Robbery,37
2010,Jun.,Theft/Robbery,16
2011,Jun.,Theft/Robbery,14
2012,Jun.,Theft/Robbery,18
2013,Jun.,Theft/Robbery,17
2009,Jun.,Lost/Missing,19
2010,Jun.,Lost/Missing,25
2011,Jun.,Lost/Missing,22
2012,Jun.,Lost/Missing,26
2013,Jun.,Lost/Missing,19
2009,Jun.,Cheating/ Froud,4
2010,Jun.,Cheating/ Froud,0
2011,Jun.,Cheating/ Froud,0
2012,Jun.,Cheating/ Froud,3
2013,Jun.,Cheating/ Froud,0
2009,Jun.,Others,2
2010,Jun.,Others,2
2011,Jun.,Others,2
2012,Jun.,Others,5
2013,Jun.,Others,2
2009,Jul.,Theft/Robbery,19
2010,Jul.,Theft/Robbery,21
2011,Jul.,Theft/Robbery,9
2012,Jul.,Theft/Robbery,19
2013,Jul.,Theft/Robbery,15
2009,Jul.,Lost/Missing,34
2010,Jul.,Lost/Missing,16
2011,Jul.,Lost/Missing,15
2012,Jul.,Lost/Missing,23
2013,Jul.,Lost/Missing,38
2009,Jul.,Cheating/ Froud,0
2010,Jul.,Cheating/ Froud,0
2011,Jul.,Cheating/ Froud,0
2012,Jul.,Cheating/ Froud,1
2013,Jul.,Cheating/ Froud,1
2009,Jul.,Others,2
2010,Jul.,Others,0
2011,Jul.,Others,1
2012,Jul.,Others,2
2013,Jul.,Others,3
2009,Aug.,Theft/Robbery,32
2010,Aug.,Theft/Robbery,20
2011,Aug.,Theft/Robbery,15
2012,Aug.,Theft/Robbery,20
2013,Aug.,Theft/Robbery,21
2009,Aug.,Lost/Missing,19
2010,Aug.,Lost/Missing,32
2011,Aug.,Lost/Missing,19
2012,Aug.,Lost/Missing,33
2013,Aug.,Lost/Missing,31
2009,Aug.,Cheating/ Froud,4
2010,Aug.,Cheating/ Froud,0
2011,Aug.,Cheating/ Froud,1
2012,Aug.,Cheating/ Froud,3
