Year AD,Year BS,Month,Number of tourist
2001,2058,Jan.,30454
2001,2058,Feb.,38680
2001,2058,Mar.,46709
2001,2058,Apr.,39083
2001,2058,May,28345
2001,2058,Jun.,13030
2001,2058,Jul.,18329
2001,2058,Aug.,25322
2001,2058,Sep.,31170
2001,2058,Oct.,41245
2001,2058,Nov.,30282
2001,2058,Dec.,18588
2002,2059,Jan.,17176
2002,2059,Feb.,20668
2002,2059,Mar.,28815
2002,2059,Apr.,21253
2002,2059,May,19887
2002,2059,Jun.,17218
2002,2059,Jul.,16621
2002,2059,Aug.,21093
2002,2059,Sep.,23752
2002,2059,Oct.,35272
2002,2059,Nov.,28723
2002,2059,Dec.,24990
2003,2060,Jan.,21215
2003,2060,Feb.,24349
2003,2060,Mar.,27737
2003,2060,Apr.,25851
2003,2060,May,22704
2003,2060,Jun.,20351
2003,2060,Jul.,22661
2003,2060,Aug.,27568
2003,2060,Sep.,28724
2003,2060,Oct.,45459
2003,2060,Nov.,38398
2003,2060,Dec.,33115
2004,2061,Jan.,30988
2004,2061,Feb.,35631
2004,2061,Mar.,44290
2004,2061,Apr.,33514
2004,2061,May,26802
2004,2061,Jun.,19793
2004,2061,Jul.,24860
2004,2061,Aug.,33162
2004,2061,Sep.,25496
2004,2061,Oct.,43373
2004,2061,Nov.,36381
2004,2061,Dec.,31007
2005,2062,Jan.,25477
2005,2062,Feb.,20338
2005,2062,Mar.,29875
2005,2062,Apr.,23414
2005,2062,May,25541
2005,2062,Jun.,22608
2005,2062,Jul.,23996
2005,2062,Aug.,36910
2005,2062,Sep.,36066
2005,2062,Oct.,51498
2005,2062,Nov.,41505
2005,2062,Dec.,38170
2006,2063,Jan.,28769
2006,2063,Feb.,25728
2006,2063,Mar.,36873
2006,2063,Apr.,21983
2006,2063,May,22870
2006,2063,Jun.,26210
2006,2063,Jul.,25183
2006,2063,Aug.,33150
2006,2063,Sep.,33362
2006,2063,Oct.,49670
2006,2063,Nov.,44119
2006,2063,Dec.,36009
2007,2064,Jan.,33192
2007,2064,Feb.,39934
2007,2064,Mar.,54722
2007,2064,Apr.,40942
2007,2064,May,35854
2007,2064,Jun.,31316
2007,2064,Jul.,35437
2007,2064,Aug.,44683
2007,2064,Sep.,45552
2007,2064,Oct.,70644
2007,2064,Nov.,52273
2007,2064,Dec.,42156
2008,2065,Jan.,36913
2008,2065,Feb.,46675
2008,2065,Mar.,58735
2008,2065,Apr.,38475
2008,2065,May,30410
2008,2065,Jun.,24349
2008,2065,Jul.,25427
2008,2065,Aug.,40011
2008,2065,Sep.,41622
2008,2065,Oct.,66421
2008,2065,Nov.,52399
2008,2065,Dec.,38840
2009,2066,Jan.,29278
2009,2066,Feb.,40617
2009,2066,Mar.,49567
2009,2066,Apr.,43337
2009,2066,May,30037
2009,2066,Jun.,31749
2009,2066,Jul.,30432
2009,2066,Aug.,44174
2009,2066,Sep.,42771
2009,2066,Oct.,72522
2009,2066,Nov.,54423
2009,2066,Dec.,41049
2010,2067,Jan.,33645
2010,2067,Feb.,49264
2010,2067,Mar.,63058
2010,2067,Apr.,45509
2010,2067,May,32542
2010,2067,Jun.,33263
2010,2067,Jul.,38991
2010,2067,Aug.,54672
2010,2067,Sep.,54848
2010,2067,Oct.,79130
2010,2067,Nov.,67537
2010,2067,Dec.,50408
2011,2068,Jan.,42622
2011,2068,Feb.,56339
2011,2068,Mar.,67565
2011,2068,Apr.,59751
2011,2068,May,46202
2011,2068,Jun.,46115
2011,2068,Jul.,42661
2011,2068,Aug.,71398
2011,2068,Sep.,63033
2011,2068,Oct.,96996
2011,2068,Nov.,83460
2011,2068,Dec.,60073
2012,2069,Jan.,52501
2012,2069,Feb.,66459
2012,2069,Mar.,89151
2012,2069,Apr.,69796
2012,2069,May,50317
2012,2069,Jun.,53630
2012,2069,Jul.,49995
2012,2069,Aug.,71964
2012,2069,Sep.,66383
2012,2069,Oct.,86379
2012,2069,Nov.,83173
2012,2069,Dec.,63344
2013,2070,Jan.,47846
2013,2070,Feb.,67264
2013,2070,Mar.,88697
2013,2070,Apr.,65152
2013,2070,May,52834
2013,2070,Jun.,54599
2013,2070,Jul.,54011
2013,2070,Aug.,68478
2013,2070,Sep.,66755
2013,2070,Oct.,99426
2013,2070,Nov.,75485
2013,2070,Dec.,57069
2014,2071,Jan.,70196
2014,2071,Feb.,69009
2014,2071,Mar.,79914
2014,2071,Apr.,80053
2014,2071,May,62558
2014,2071,Jun.,50731
2014,2071,Jul.,46546
2014,2071,Aug.,59761
2014,2071,Sep.,52894
2014,2071,Oct.,80993
2014,2071,Nov.,76305
2014,2071,Dec.,61158
