Year AD,Year BS,Trekking areas,Number of people,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
2000,2057,Mustang,1069,,,,,,,,,,,,,
2000,2057,Lower Dolpa,1069,,,,,,,,,,,,,
2000,2057,Upper Dolpa,121,,,,,,,,,,,,,
2000,2057,Humla,509,,,,,,,,,,,,,
2000,2057,Mnaslu,617,,,,,,,,,,,,,
2000,2057,Kanchanjunga,375,,,,,,,,,,,,,
2001,2058,Mustang,922,,,,,,,,,,,,,
2001,2058,Lower Dolpa,488,,,,,,,,,,,,,
2001,2058,Upper Dolpa,119,,,,,,,,,,,,,
2001,2058,Humla,337,,,,,,,,,,,,,
2001,2058,Mnaslu,798,,,,3883.0,1117.0,469.0,492.0,3764.0,777.0,1454.0,776.0,2333.0,15065.0
2001,2058,Kanchanjunga,690,,,,,,,,,,,,,
2002,2059,Mustang,536,,,,,,,,,,,,,
2002,2059,Lower Dolpa,0,,,,,,,,,,,,,
2002,2059,Upper Dolpa,119,,,,,,,,,,,,,
2002,2059,Humla,339,,,,,,,,,,,,,
2002,2059,Mnaslu,428,,,,,,,,,,,,,
2002,2059,Kanchanjunga,478,,,,,,,,,,,,,
2002,2059,Others,79,,,,,,,,,,,,,
2003,2060,Mustang,572,,,,,,,,,,,,,
2003,2060,Lower Dolpa,0,,,,,,,,,,,,,
2003,2060,Upper Dolpa,369,,,,,,,,,,,,,
2003,2060,Humla,223,,,,,,,,,,,,,
2003,2060,Mnaslu,645,,,,,,,,,,,,,
2003,2060,Kanchanjunga,402,,,,,,,,,,,,,
2003,2060,Others,154,,,,,,,,,,,,,
2004,2061,Mustang,825,,,,,,,,,,,,,
2004,2061,Lower Dolpa,329,,,,,,,,,,,,,
2004,2061,Upper Dolpa,77,,,,,,,,,,,,,
2004,2061,Humla,577,,,,,,,,,,,,,
2004,2061,Mnaslu,682,,,,,,,,,,,,,
2004,2061,Kanchanjunga,458,,,,,,,,,,,,,
2004,2061,Others,275,,,,,,,,,,,,,
2005,2062,Mustang,661,,,,,,,,,,,,,
2005,2062,Lower Dolpa,200,,,,,,,,,,,,,
2005,2062,Upper Dolpa,81,,,,,,,,,,,,,
2005,2062,Humla,782,,,,,,,,,,,,,
2005,2062,Mnaslu,544,,,,,,,,,,,,,
2005,2062,Kanchanjunga,167,,,,,,,,,,,,,
2005,2062,Others,279,,,,,,,,,,,,,
2006,2063,Mustang,248,,,,,,,,,,,,,
2006,2063,Lower Dolpa,225,,,,,,,,,,,,,
2006,2063,Upper Dolpa,92,,,,,,,,,,,,,
2006,2063,Humla,1256,,,,,,,,,,,,,
2006,2063,Mnaslu,561,,,,,,,,,,,,,
2006,2063,Kanchanjunga,335,,,,,,,,,,,,,
2006,2063,Others,395,,,,,,,,,,,,,
2007,2064,Mustang,1282,,,,,,,,,,,,,
2007,2064,Lower Dolpa,419,,,,,,,,,,,,,
2007,2064,Upper Dolpa,198,,,,,,,,,,,,,
2007,2064,Humla,1542,,,,,,,,,,,,,
2007,2064,Mnaslu,895,,,,,,,,,,,,,
2007,2064,Kanchanjunga,404,,,,,,,,,,,,,
2007,2064,Others,587,,,,,,,,,,,,,
2008,2065,Mustang,838,,,,,,,,,,,,,
2008,2065,Lower Dolpa,709,,,,,,,,,,,,,
2008,2065,Upper Dolpa,383,,,,,,,,,,,,,
2008,2065,Humla,1065,,,,,,,,,,,,,
2008,2065,Mnaslu,1443,,,,,,,,,,,,,
2008,2065,Kanchanjunga,1490,,,,,,,,,,,,,
2008,2065,Others,520,,,,,,,,,,,,,
2009,2066,Mustang,1659,,,,,,,,,,,,,
2009,2066,Lower Dolpa,739,,,,,,,,,,,,,
2009,2066,Upper Dolpa,313,,,,,,,,,,,,,
2009,2066,Humla,1177,,,,,,,,,,,,,
2009,2066,Mnaslu,1635,,,,,,,,,,,,,
2009,2066,Kanchanjunga,508,,,,,,,,,,,,,
2009,2066,Others,948,,,,,,,,,,,,,
2010,2067,Mustang,2162,,,,,,,,,,,,,
2010,2067,Lower Dolpa,785,,,,,,,,,,,,,
2010,2067,Upper Dolpa,358,,,,,,,,,,,,,
2010,2067,Humla,1633,,,,,,,,,,,,,
2010,2067,Mnaslu,2162,,,,,,,,,,,,,
2010,2067,Kanchanjunga,488,,,,,,,,,,,,,
2010,2067,Others,1427,,,,,,,,,,,,,
2011,2068,Mustang,2950,,,,,,,,,,,,,
2011,2068,Lower Dolpa,808,,,,,,,,,,,,,
2011,2068,Upper Dolpa,397,,,,,,,,,,,,,
2011,2068,Humla,1758,,,,,,,,,,,,,
2011,2068,Mnaslu,2813,,,,,,,,,,,,,
2011,2068,Kanchanjunga,591,,,,,,,,,,,,,
2011,2068,Others,1398,,,,,,,,,,,,,
2012,2069,Mustang,2965,,,,,,,,,,,,,
2012,2069,Lower Dolpa,982,,,,,,,,,,,,,
2012,2069,Upper Dolpa,536,,,,,,,,,,,,,
2012,2069,Humla,1508,,,,,,,,,,,,,
2012,2069,Mnaslu,3319,,,,,,,,,,,,,
2012,2069,Kanchanjunga,635,,,,,,,,,,,,,
2012,2069,Others,1687,,,,,,,,,,,,,
2013,2070,Mustang,2862,,,,,,,,,,,,,
2013,2070,Lower Dolpa,585,,,,,,,,,,,,,
2013,2070,Upper Dolpa,338,,,,,,,,,,,,,
2013,2070,Humla,1603,,,,,,,,,,,,,
2013,2070,Mnaslu,4439,,,,,,,,,,,,,
2013,2070,Kanchanjunga,837,,,,,,,,,,,,,
2013,2070,Others,2273,,,,,,,,,,,,,
2014,2071,Mustang,3883,,,,,,,,,,,,,
2014,2071,Lower Dolpa,1117,,,,,,,,,,,,,
2014,2071,Upper Dolpa,469,,,,,,,,,,,,,
2014,2071,Humla,492,,,,,,,,,,,,,
2014,2071,Mnaslu,3764,,,,,,,,,,,,,
2014,2071,Kanchanjunga,777,,,,,,,,,,,,,
2014,2071,T.Valley,1454,,,,,,,,,,,,,
2014,2071,Narphu,776,,,,,,,,,,,,,
2014,2071,Others,2333,,,,,,,,,,,,,
