Year,Airline,Country,No of tourist
2012,Nepal Airlines,Afghanistan,0
2012,Nepal Airlines,Argentina,11
2012,Nepal Airlines,Australia,183
2012,Nepal Airlines,Austria,22
2012,Nepal Airlines,Bangladesh,55
2012,Nepal Airlines,Belgium,29
2012,Nepal Airlines,Bhutan,8
2012,Nepal Airlines,Brazil,22
2012,Nepal Airlines,Bulgaria,33
2012,Nepal Airlines,Cambodia,13
2012,Nepal Airlines,Canada,232
2012,Nepal Airlines,China,3290
2012,Nepal Airlines,Czech Republic,6
2012,Nepal Airlines,Denmark,21
2012,Nepal Airlines,Finland,46
2012,Nepal Airlines,France,195
2012,Nepal Airlines,Germany,112
2012,Nepal Airlines,Greece,34
2012,Nepal Airlines,India,505
2012,Nepal Airlines,Indonesia,43
2012,Nepal Airlines,Ireland,7
2012,Nepal Airlines,Israel,523
2012,Nepal Airlines,Italy,67
2012,Nepal Airlines,Japan,230
2012,Nepal Airlines,Malaysia,3828
2012,Nepal Airlines,Mexico,4
2012,Nepal Airlines,Myanmar,69
2012,Nepal Airlines,Netherland,67
2012,Nepal Airlines,New Zealand,61
2012,Nepal Airlines,Norway,26
2012,Nepal Airlines,Pakistan,23
2012,Nepal Airlines,Philippines,78
2012,Nepal Airlines,Poland,23
2012,Nepal Airlines,Portugal,16
2012,Nepal Airlines,Republic of Korea,532
2012,Nepal Airlines,Romania,10
2012,Nepal Airlines,Russian Federation,80
2012,Nepal Airlines,Saudi Arabia,12
2012,Nepal Airlines,Singapore,100
2012,Nepal Airlines,Slovakia,3
2012,Nepal Airlines,South Africa,20
2012,Nepal Airlines,Spain,32
2012,Nepal Airlines,Sri Lanka,25
2012,Nepal Airlines,Sweden,42
2012,Nepal Airlines,Switzerland,48
2012,Nepal Airlines,Thailand,485
2012,Nepal Airlines,Turkey,7
2012,Nepal Airlines,Ukraine,8
2012,Nepal Airlines,UK,1048
2012,Nepal Airlines,USA,310
2012,Nepal Airlines,Vietnam,30
2012,Nepal Airlines,Taiwan,821
2012,Nepal Airlines,Others,458
2012,Nepal Airlines,Not Sp,50
2012,Indian Airlines,Afghanistan,133
2012,Indian Airlines,Argentina,314
2012,Indian Airlines,Australia,1076
2012,Indian Airlines,Austria,658
