Year,Purpose of visit,No of tourists
2000,Holiday Pleasure,255889
2000,Trekking & Mountaineering,118780
2000,Business,29454
2000,Pilgrimage,15801
2000,Official,20832
2000,Conv./ Conf.,5599
2000,Others,17291
2000,Not Specified,-
2001,Holiday Pleasure,187022
2001,Trekking & Mountaineering,100828
2001,Business,18528
2001,Pilgrimage,13816
2001,Official,18727
2001,Conv./ Conf.,0
2001,Others,22316
2001,Not Specified,-
2002,Holiday Pleasure,110143
2002,Trekking & Mountaineering,59279
2002,Business,16990
2002,Pilgrimage,12366
2002,Official,17783
2002,Conv./ Conf.,0
2002,Others,58907
2002,Not Specified,-
2003,Holiday Pleasure,97904
2003,Trekking & Mountaineering,65721
2003,Business,19387
2003,Pilgrimage,21395
2003,Official,21967
2003,Conv./ Conf.,0
2003,Others,111758
2003,Not Specified,-
2004,Holiday Pleasure,167262
2004,Trekking & Mountaineering,69442
2004,Business,13948
2004,Pilgrimage,45664
2004,Official,17088
2004,Conv./ Conf.,0
2004,Others,71893
2004,Not Specified,-
2005,Holiday Pleasure,160259
2005,Trekking & Mountaineering,61488
2005,Business,21992
2005,Pilgrimage,47621
2005,Official,16859
2005,Conv./ Conf.,0
2005,Others,67179
2005,Not Specified,-
2006,Holiday Pleasure,145802
2006,Trekking & Mountaineering,66931
2006,Business,21066
2006,Pilgrimage,59298
2006,Official,18063
2006,Conv./ Conf.,0
2006,Others,72766
2006,Not Specified,-
2007,Holiday Pleasure,217815
2007,Trekking & Mountaineering,101320
2007,Business,24487
2007,Pilgrimage,52594
2007,Official,21670
2007,Conv./ Conf.,8019
2007,Others,78644
2007,Not Specified,22156
2008,Holiday Pleasure,148180
2008,Trekking & Mountaineering,104822
2008,Business,23039
2008,Pilgrimage,45091
2008,Official,43044
2008,Conv./ Conf.,6938
2008,Others,99634
2008,Not Specified,29529
2009,Holiday Pleasure,140992
2009,Trekking & Mountaineering,132929
2009,Business,22758
2009,Pilgrimage,51542
2009,Official,24518
2009,Conv./ Conf.,9985
2009,Others,87134
2009,Not Specified,40098
2010,Holiday Pleasure,263938
2010,Trekking & Mountaineering,70218
2010,Business,21377
2010,Pilgrimage,101335
2010,Official,26374
2010,Conv./ Conf.,9627
2010,Others,52347
2010,Not Specified,57651
2011,Holiday Pleasure,425721
2011,Trekking & Mountaineering,86260
2011,Business,17859
2011,Pilgrimage,63783
2011,Official,24054
2011,Conv./ Conf.,10836
2011,Others,37311
2011,Not Specified,70391
2012,Holiday Pleasure,379627
2012,Trekking & Mountaineering,105015
2012,Business,24785
2012,Pilgrimage,109854
2012,Official,30460
2012,Conv./ Conf.,13646
2012,Others,48540
2012,Not Specified,91165
2013,Holiday Pleasure,410934
2013,Trekking & Mountaineering,102001
2013,Business,28183
2013,Pilgrimage,71610
2013,Official,37386
2013,Conv./ Conf.,15552
2013,Others,54326
2013,Not Specified,77263
