Year,Country,Means of transportation,Number of tourist
2012,Afghanistan,Air,494
2012,Afghanistan,Land,9
2012,Argentina,Air,918
2012,Argentina,Land,699
2012,Australia,Air,18522
2012,Australia,Land,3508
2012,Austria,Air,2875
2012,Austria,Land,922
2012,Bangladesh,Air,15807
2012,Bangladesh,Land,957
2012,Belgium,Air,4931
2012,Belgium,Land,1355
2012,Bhutan,Air,3357
2012,Bhutan,Land,826
2012,Brazil,Air,1240
2012,Brazil,Land,390
2012,Bulgaria,Air,585
2012,Bulgaria,Land,644
2012,Cambodia,Air,292
2012,Cambodia,Land,570
2012,Canada,Air,11510
2012,Canada,Land,1997
2012,China,Air,54007
2012,China,Land,17854
2012,Czech,Air,2040
2012,Czech,Land,1552
2012,Denmark,Air,5569
2012,Denmark,Land,1549
2012,Finland,Air,2198
2012,Finland,Land,266
2012,France,Air,24887
2012,France,Land,3918
2012,Germany,Air,25087
2012,Germany,Land,5322
2012,Greece,Air,640
2012,Greece,Land,51
2012,India,Air,165677
2012,India,Land,138
2012,Indonesia,Air,984
2012,Indonesia,Land,516
2012,Ireland,Air,1567
2012,Ireland,Land,451
2012,Israel,Air,6294
2012,Israel,Land,857
2012,Italy,Air,12384
2012,Italy,Land,2230
2012,Japan,Air,24840
2012,Japan,Land,3802
2012,Malaysia,Air,10209
2012,Malaysia,Land,1571
2012,Mexico,Air,1213
2012,Mexico,Land,251
2012,Myanmar,Air,847
2012,Myanmar,Land,8623
2012,Netherlands,Air,9259
2012,Netherlands,Land,6186
2012,New Zealand,Air,3060
2012,New Zealand,Land,697
2012,Norway,Air,2802
2012,Norway,Land,478
2012,Pakistan,Air,5054
2012,Pakistan,Land,18
2012,Philippines,Air,1718
2012,Philippines,Land,39
2012,Poland,Air,4175
2012,Poland,Land,1514
2012,Portugal,Air,1037
2012,Portugal,Land,148
2012,Republic of Korea,Air,18976
2012,Republic of Korea,Land,7028
2012,Romania,Air,987
2012,Romania,Land,349
2012,Russian Federation,Air,7805
2012,Russian Federation,Land,1868
2012,Saudi Arabia,Air,1046
2012,Saudi Arabia,Land,163
2012,Singapore,Air,4300
2012,Singapore,Land,1326
2012,Slovakia,Air,896
2012,Slovakia,Land,371
2012,South Africa,Air,1205
2012,South Africa,Land,119
2012,Spain,Air,11500
2012,Spain,Land,3049
2012,Sri Lanka,Air,1993
2012,Sri Lanka,Land,67483
2012,Sweden,Air,3212
2012,Sweden,Land,1240
2012,Switzerland,Air,5467
2012,Switzerland,Land,1579
2012,Thailand,Air,5890
2012,Thailand,Land,30728
2012,Turkey,Air,1514
2012,Turkey,Land,174
2012,Ukraine,Air,1452
2012,Ukraine,Land,434
2012,UK,Air,36331
2012,UK,Land,4963
2012,USA,Air,42622
2012,USA,Land,6363
2012,Vietnam,Air,796
2012,Vietnam,Land,1380
2012,Taiwan,Air,7776
2012,Taiwan,Land,1052
2012,Others,Air,15659
2012,Others,Land,2948
2012,Not Specified,Air,2752
2012,Not Specified,Land,2309
2013,Australia,Air,18250
2013,Australia,Land,2219
2013,Austria,Air,2545
2013,Austria,Land,586
2013,Bangladesh,Air,21363
2013,Bangladesh,Land,1047
2013,Belgium,Air,4760
2013,Belgium,Land,568
2013,Canada,Air,11084
2013,Canada,Land,1048
2013,China,Air,62616
2013,China,Land,50557
2013,Chinese Taipei,Air,7692
2013,Chinese Taipei,Land,1970
2013,Czech Republic,Air,976
2013,Czech Republic,Land,147
2013,Denmark,Air,4783
2013,Denmark,Land,537
2013,France,Air,19455
2013,France,Land,2387
2013,Germany,Air,19132
2013,Germany,Land,3131
2013,India,Air,167282
2013,India,Land,13692
2013,Israel,Air,4668
2013,Israel,Land,769
2013,Italy,Air,8774
2013,Italy,Land,1200
2013,Japan,Air,24172
2013,Japan,Land,2522
2013,Malaysia,Air,16993
2013,Malaysia,Land,1849
2013,Netherlands,Air,8013
2013,Netherlands,Land,2503
2013,New Zealand,Air,2467
2013,New Zealand,Land,341
2013,Norway,Air,2358
2013,Norway,Land,193
2013,Pakistan,Air,4376
2013,Pakistan,Land,0
2013,Poland,Air,2499
2013,Poland,Land,939
2013,Russia,Air,7562
2013,Russia,Land,651
2013,S. Korea,Air,19648
2013,S. Korea,Land,66
2013,Singapore,Air,5536
2013,Singapore,Land,635
2013,Spain,Air,9031
2013,Spain,Land,1381
2013,Sri Lanka,Air,2154
2013,Sri Lanka,Land,30582
2013,Sweden,Air,3396
2013,Sweden,Land,458
2013,Switzerland,Air,4197
2013,Switzerland,Land,706
2013,Thailand,Air,7102
2013,Thailand,Land,33867
2013,U.K.,Air,32381
2013,U.K.,Land,3287
2013,U.S.A.,Air,43047
2013,U.S.A.,Land,4308
2013,Others,Air,46534
2013,Others,Land,38622
