title,source,csv file,git hub csv file,pdf link,pdf name,year
Number Of Foreigners Visited To Protected Areas By Month Fiscal Year 2069-70,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/data_30.csv&nid=5173,"https://github.com/opennepal/odp-tourism/tree/master/Number Of Foreigners Visited To Protected Areas By Month, Fiscal Year 2069-70/data.csv",http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2013_final integrated.pdf,
Country wise travel trend in lumbini  by month 2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/data_28.csv&nid=5172,"https://github.com/opennepal/odp-tourism/tree/master/Country wise travel trend in lumbini  by month, 2013/data.csv",http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2013_final integrated.pdf,
No of visitors to Pashupati area by month (Excluding Indian visitors) 2011-2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/data_26.csv&nid=5171,"https://github.com/opennepal/odp-tourism/tree/master/No of visitors to Pashupati area by month (Excluding Indian visitors) ,2011-2013/data.csv",http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2013_final integrated.pdf,2011-2013
Number of foreign visitors to national parks and protected areas2008-2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/data_25.csv&nid=5170,"https://github.com/opennepal/odp-tourism/tree/master/Number of foreign visitors to national parks and protected areas,2008-2013/data.csv",http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2013_final integrated.pdf,2008-2013
Number of reported tourist related crimes by month and type 2009-2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/data_15.csv&nid=5163,"https://github.com/opennepal/odp-tourism/tree/master/Number of reported tourist related crimes by month and type, 2009-2013/data.csv",http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2013_final integrated.pdf,2009-2013
Number of tourist arrival by month 2001-2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Tourist Arrival by month.csv&nid=4486,"https://github.com/opennepal/odp-tourism/tree/master/Number of tourist arrival by month, 2001-2013/data.csv",http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2013_final integrated.pdf,2001-2013
Tourist Arrival by gender 2001-2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Number of tourist by sex.csv&nid=4485,"https://github.com/opennepal/odp-tourism/tree/master/Tourist Arrival by gender, 2001-2013/data.csv",http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2013_final integrated.pdf,2001-2013
Number of tourist arrival by age group 2001-2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/No of tourist by age group.csv&nid=4484,https://github.com/opennepal/odp-tourism/tree/master/Number of tourist arrival by age group 2001-2013/data.csv,http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2013_final integrated.pdf,2001-2013
Number of paragliders in Pokhara2012-2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Number of paragliders in Pokhara.csv&nid=4483,"https://github.com/opennepal/odp-tourism/tree/master/Number of paragliders in Pokhara,2012-2013/data.csv",http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf;http://www.tourism.gov.np/uploaded/TourrismStat2012.pdf,TourrismStat2013_final integrated.pdf;TourrismStat2012.pdf,2012-2013
Tourist Arrivals by Nationality and means of transportation 2012-2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Tourist Arrival by their nationalities and means of transportation_0.csv&nid=3462,"https://github.com/opennepal/odp-tourism/tree/master/Tourist Arrivals by Nationality and means of transportation, 2012-2013/data.csv",https://www.google.com/url?q=http://www.tourism.gov.np/uploaded/TourrismStat2012.pdf&sa=D&usg=ALhdy28k0pBN57XcK2UuYGSl1jplFl_m8w;http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2012.pdf;TourrismStat2013_final integrated.pdf,2012-2013
Tourist Arrival By Nationalities & Airlines 2012-2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Airline Nationalities.csv&nid=2635,"https://github.com/opennepal/odp-tourism/tree/master/Tourist Arrival By Nationalities & Airlines, 2012-2013/data.csv",https://www.google.com/url?q=http://www.tourism.gov.np/uploaded/TourrismStat2012.pdf&sa=D&usg=ALhdy28k0pBN57XcK2UuYGSl1jplFl_m8w;http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2012.pdf;TourrismStat2013_final integrated.pdf,2012-2013
Tourist Arrival by purpose of visit2000-2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Purpose of visit and Nationalities.csv&nid=2549,"https://github.com/opennepal/odp-tourism/tree/master/Tourist Arrival by purpose of visit,2000-2013/data.csv",http://www.tourism.gov.np/uploaded/TourrismStat2012.pdf;http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2012.pdf;TourrismStat2013_final integrated.pdf,2000-2013
Number of foreigner to Lumbini 2012-2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Lumbini Visit.csv&nid=2548,"https://github.com/opennepal/odp-tourism/tree/master/Number of foreigner to Lumbini, 2012-2013/data.csv",http://www.tourism.gov.np/uploaded/TourrismStat2012.pdf;http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2012.pdf;TourrismStat2013_final integrated.pdf,2012-2013
Number of trekkers in different trekking area 2000-2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Trekkers.csv&nid=2545,"https://github.com/opennepal/odp-tourism/tree/master/Number of trekkers in different trekking area, 2000-2013/data.csv",http://www.tourism.gov.np/uploaded/TourrismStat2012.pdf;http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2012.pdf;TourrismStat2013_final integrated.pdf,2000-2013
